ampoule	ampoule	n.	f.			false
amusant	amusant	adj.				false
amusement	amusement	n.	m.			false
amuser	amuser	v.				false
an	an	n.	m.			false
anachronisme	anachronisme	n.	m.			false
analogie	analogie	n.	f.			false
analphabétisme	analphabétisme	n.	m.			false
analyse	analyse	n.	f.			false
anarchie	anarchie	n.	f.			false
ancêtre	ancêtre	n.	m.			false
ancien	ancien	adj.				false
ancre	ancre	n.	f.			false
anecdote	anecdote	n.	f.			false
ange	ange	n.	m.			false
anglais	anglais	adj.				false
anglais	anglais	n.	m.			false
angle	angle	n.	m.			false
anglicisme	anglicisme	n.	m.			false
angoisse	angoisse	n.	f.			false
animal	animal	n.	m.			false
animateur	animateur	n.	m.			false
animation	animation	n.	f.			false
animosité	animosité	n.	f.			false
anneau	anneau	n.	m.			false
année	année	n.	f.			false
anniversaire	anniversaire	n.	m.			false
annonce	annonce	n.	f.			false
annoncer	annoncer	v.				false
anomalie	anomalie	n.	f.			false
anonymat	anonymat	n.	m.			false
anonyme	anonyme	adj.				false
anse	anse	n.	f.			false
antécédent	antécédent	n.	m.			false
antidote	antidote	n.	m.			false
antipathie	antipathie	n.	f.			false
antiquité	antiquité	n.	f.			false
anxiété	anxiété	n.	f.			false
aout	aout	n.	m.			true
août	août	n.	m.			false
apaisement	apaisement	n.	m.			false
apathie	apathie	n.	f.			false
apercevoir	apercevoir	v.				false
apercevoir, s'	apercevoir, s'	v.				false
aperçu	aperçu	n.	m.			false
aplomb	aplomb	n.	m.			false
apogée	apogée	n.	f.			false
apparaitre	apparaitre	v.				true
apparaître	apparaître	v.				false
appareil	appareil	n.	m.			false
apparence	apparence	n.	f.			false
apparition	apparition	n.	f.			false
appartement	appartement	n.	m.			false
appartenir	appartenir	v.				false
appât	appât	n.	m.			false
appauvrissement	appauvrissement	n.	m.			false
appel	appel	n.	m.			false
appeler	appeler	v.				false
appétit	appétit	n.	m.			false
applaudissement	applaudissement	n.	m.			false
application	application	n.	f.			false
apport	apport	n.	m.			false
apporter	apporter	v.				false
appréciation	appréciation	n.	f.			false
apprendre	apprendre	v.				false
apprentissage	apprentissage	n.	m.			false
approbation	approbation	n.	f.			false
approcher	approcher	v.				false
approuver	approuver	v.				false
approvisionnement	approvisionnement	n.	m.			false
appui	appui	n.	m.			false
appuyer	appuyer	v.				false
après	après	prép.				false
après	après	adv.				false
après-midi	après-midi	n.	m.			false
après-midi	après-midi	n.	f.			false
aptitude	aptitude	n.	f.			false
aquarelle	aquarelle	n.	f.			false
aquarium	aquarium	n.	m.			false
araignée	araignée	n.	f.			false
arbitre	arbitre	n.	m.			false
arbre	arbre	n.	m.			false
arbuste	arbuste	n.	m.			false
arc	arc	n.	m.			false
arc-en-ciel	arc-en-ciel	n.	m.			false
archéologie	archéologie	n.	f.			false
architecte	architecte	n.	m.			false
architecture	architecture	n.	f.			false
archives	archives	n.	f.	pl.		false
ardeur	ardeur	n.	f.			false
arête	arête	n.	f.			false
argent	argent	n.	m.			false
argile	argile	n.	f.			false
argument	argument	n.	m.			false
arme	arme	n.	f.			false
armée	armée	n.	f.			false
armer	armer	v.				false
armoire	armoire	n.	f.			false
arôme	arôme	n.	m.			false
arracher	arracher	v.				false
arrangement	arrangement	n.	m.			false
arranger	arranger	v.				false
arrestation	arrestation	n.	f.			false
arrêt	arrêt	n.	m.			false
arrêter	arrêter	v.				false
arrière	arrière	n.	m.			false
arrivée	arrivée	n.	f.			false
arriver	arriver	v.				false
arrogance	arrogance	n.	f.			false
art	art	n.	m.			false
artère	artère	n.	f.			false
article	article	n.	m.			false
articulation	articulation	n.	f.			false
artisan	artisan	n.	m.			false
artisanat	artisanat	n.	m.			false
artiste	artiste	n.	m.			false
ascenseur	ascenseur	n.	m.			false
ascension	ascension	n.	f.			false
aspect	aspect	n.	m.			false
aspiration	aspiration	n.	f.			false
assassin	assassin	n.	m.			false
assassinat	assassinat	n.	m.			false
assaut	assaut	n.	m.			false
assemblage	assemblage	n.	m.			false
assemblée	assemblée	n.	f.			false
asseoir	asseoir	v.				false
assez	assez	adv.				false
assiette	assiette	n.	f.			false
assimilation	assimilation	n.	f.			false
assis	assis	adj.				false
assistance	assistance	n.	f.			false
assister	assister	v.				false
association	association	n.	f.			false
associer	associer	v.				false
assoir	assoir	v.				false
assortiment	assortiment	n.	m.			false
assurance	assurance	n.	f.			false
assurer	assurer	v.				false
astre	astre	n.	m.			false
astrologie	astrologie	n.	f.			false
astronomie	astronomie	n.	f.			false
astuce	astuce	n.	f.			false
atelier	atelier	n.	m.			false
athlète	athlète	n.	m.			false
atmosphère	atmosphère	n.	f.			false
atout	atout	n.	m.			false
atrocité	atrocité	n.	f.			false
attachement	attachement	n.	m.			false
attacher	attacher	v.				false
attaque	attaque	n.	f.			false
attaquer	attaquer	v.				false
atteindre	atteindre	v.				false
attendre	attendre	v.				false
attendre	attendre	v.				false
attendrissement	attendrissement	n.	m.			false
attentat	attentat	n.	m.			false
attente	attente	n.	f.			false
attention	attention	n.	f.			false
atterrissage	atterrissage	n.	m.			false
attirance	attirance	n.	f.			false
attirer	attirer	v.				false
attitude	attitude	n.	f.			false
attraction	attraction	n.	f.			false
attrait	attrait	n.	m.			false
attraper	attraper	v.				false
attroupement	attroupement	n.	m.			false
au	au	dét.				false
au lieu de	au lieu de	prép.				false
au milieu de	au milieu de	prép.				false
au moins	au moins	adv.				false
aubaine	aubaine	n.	f.			false
aube	aube	n.	f.			false
auberge	auberge	n.	f.			false
aucun	aucun	pron.				false
aucun	aucun	dét.				false
audace	audace	n.	f.			false
auditeur	auditeur	n.	m.			false
audition	audition	n.	f.			false
auditoire	auditoire	n.	m.			false
augmentation	augmentation	n.	f.			false
aujourd'hui	aujourd'hui	adv.				false
auparavant	auparavant	adv.				false
auprès de	auprès de	prép.				false
aurore	aurore	n.	f.			false
aussi	aussi	adv.				false
aussitôt	aussitôt	adv.				false
autant	autant	adv.				false
auteur	auteur	n.	m.			false
authenticité	authenticité	n.	f.			false
auto	auto	n.	f.			false
autobus	autobus	n.	m.			false
autographe	autographe	n.	m.			false
automne	automne	n.	m.			false
automobile	automobile	n.	f.			false
autonomie	autonomie	n.	f.			false
autorisation	autorisation	n.	f.			false
autorité	autorité	n.	f.			false
autoroute	autoroute	n.	f.			false
autour	autour	adv.				false
autre	autre	adj.				false
autre	autre	pron.				false
autrefois	autrefois	adv.				false
