supraconduction	sypʀɑkɔ̃dyksjɔ̃	supraconduction.ad
arrière-train	aʀjɛʀtʀɛ̃	arrière-train.ad
arrière-voussure	aʀjɛʀvusyʀ	arrière-voussure.ad
arrière	aʀjɛʀ	arrière.ad
arriération	aʀjeʀasjɔ̃	arriération.ad
arriéré	aʀjeʀe	arriéré.ad
arriérée	aʀjeʀe	arriéré.ad
arroche	aʀɔʃ	arroche.ad
arrogance	aʀɔgɑ̃s	arrogance.ad
arrogant	aʀɔgɑ̃	arrogant.ad
arrogante	aʀɔgɑ̃t	arrogant.ad
arroi	aʀwa	arroi.ad
arrondi	aʀɔ̃di	arrondi.ad
arrondie	aʀɔ̃di	arrondi.ad
arrondir	aʀɔ̃diʀ	arrondir.ad
arrondissage	aʀɔ̃disaʒ	arrondissage.ad
arrondissement	aʀɔ̃dismɑ̃	arrondissement.ad
arrondisseur	aʀɔ̃disœʀ	arrondisseur.ad
arrosage	aʀozaʒ	arrosage.ad
arrosement	aʀozmɑ̃	arrosement.ad
arroser	aʀoze	arroser.ad
arroseur	aʀozœʀ	arroseur_1.ad
arroseuse	aʀozøz	arroseur_1.ad
arrosoir	aʀozwɑʀ	arrosoir.ad
arrosé	aʀoze	arrosé.ad
arrosée	aʀoze	arrosé.ad
arrow-root	aʀoʀu:t	arrow-root.ad
arroyo	aʀɔjo	arroyo.ad
arrérager	aʀeʀaʒe	arrérager.ad
arrérages	aʀeʀaʒ	arrérages.ad
arrêt-court	aʀɛkuʀ	arrêt-court.ad
arrêt	aʀɛ	arrêt.ad
arrêter	aʀɛte	arrêter.ad
arrêtoir	aʀɛtwɑʀ	arrêtoir.ad
arrêté	aʀɛte	arrêté.ad
arrêtée	aʀɛte	arrêté.ad
ars	ɑʀ	ars.ad
arsenal	aʀsə̠nal	arsenal.ad
arsenic	aʀsə̠nik	arsenic.ad
arsenical	aʀsə̠nikal	arsenical.ad
arsenicale	aʀsə̠nikal	arsenical.ad
arsine	aʀsin	arsine.ad
arséniate	aʀsenjat	arséniate.ad
arsénieux	aʀsenjø	arsénieux.ad
arsénieuse	aʀsenjøz	arsénieux.ad
arsénique	aʀsenik	arsénique.ad
arsénite	aʀsenit	arsénite.ad
arséniure	aʀsenjyʀ	arséniure.ad
art	ɑʀ	art.ad
arthralgie	aʀtʀalʒi	arthralgie.ad
arthrite	aʀtʀit	arthrite.ad
arthritique	aʀtʀitik	arthritique.ad
arthritisme	aʀtʀitism	arthritisme.ad
arthrodie	aʀtʀɔdi	arthrodie.ad
arthrographie	aʀtʀɔgʀafi	arthrographie.ad
arthropathie	aʀtʀɔpati	arthropathie.ad
arthroplastie	aʀtʀoplasti	arthroplastie.ad
arthropode	aʀtʀɔpɔd	arthropode.ad
arthroscopie	aʀtʀɔskɔpi	arthroscopie.ad
arthrose	aʀtʀoz	arthrose.ad
artichaut	aʀtiʃo	artichaut.ad
artichautière	aʀtiʃotjɛʀ	artichautière.ad
article	aʀtikl	article.ad
articulaire	aʀtikylɛʀ	articulaire.ad
articulateur	aʀtikylatœʀ	articulateur.ad
articulation	aʀtikylasjɔ̃	articulation.ad
articulatoire	aʀtikylatwɑʀ	articulatoire.ad
articuler	aʀtikyle	articuler.ad
articulet	aʀtikylɛ	articulet.ad
articulé	aʀtikyle	articulé.ad
articulée	aʀtikyle	articulé.ad
artifice	aʀtifis	artifice.ad
artificialité	aʀtifisjalite	artificialité.ad
artificiel	aʀtifisjɛl	artificiel.ad
artificielle	aʀtifisjɛl	artificiel.ad
artificiellement	aʀtifisjɛlmɑ̃	artificiellement.ad
artificier	aʀtifisje	artificier.ad
artificière	aʀtifisjɛʀ	artificier.ad
artificieusement	aʀtifisjøzmɑ̃	artificieusement.ad
artificieux	aʀtifisjø	artificieux.ad
artificieuse	aʀtifisjøz	artificieux.ad
artillerie	aʀtijʀi	artillerie.ad
artilleur	aʀtijœʀ	artilleur.ad
artilleuse	aʀtijøz	artilleur.ad
artimon	aʀtimɔ̃	artimon.ad
artiodactyle	aʀtjɔdaktil	artiodactyle.ad
artisan	aʀtizɑ̃	artisan.ad
artisane	aʀtizan	artisan.ad
artisanal	aʀtizanal	artisanal.ad
artisanale	aʀtizanal	artisanal.ad
artisanalement	aʀtizanalmɑ̃	artisanalement.ad
artisanat	aʀtizanɑ	artisanat.ad
artiste	aʀtist	artiste.ad
artistique	aʀtistik	artistique.ad
artistiquement	aʀtistikmɑ̃	artistiquement.ad
artocarpe	aʀtɔkaʀp	artocarpe.ad
artère	aʀtɛʀ	artère.ad
artéfact	aʀtefakt	artéfact_ou_artefact.ad
artefact	aʀtefakt	artéfact_ou_artefact.ad
artéfact	aʀtefakt	artéfact_ou_artefact.ad
artériectomie	aʀteʀjɛktɔmi	artériectomie.ad
artériel	aʀteʀjɛl	artériel.ad
artérielle	aʀteʀjɛl	artériel.ad
artériographie	aʀteʀjɔgʀafi	artériographie.ad
artériole	aʀteʀjɔl	artériole.ad
artérioscléreux	aʀteʀjoskleʀø	artérioscléreux.ad
artérioscléreuse	aʀteʀjoskleʀøz	artérioscléreux.ad
artériosclérose	aʀteʀjoskleʀoz	artériosclérose.ad
artériotomie	aʀteʀjɔtɔmi	artériotomie.ad
artérite	aʀteʀit	artérite.ad
artésien	aʀtezjɛ̃	artésien.ad
artésienne	aʀtezjɛn	artésien.ad
arum	aʀɔm	arum.ad
aruspice	aʀyspis	aruspice_ou_haruspice.ad
haruspice	aʀyspis	aruspice_ou_haruspice.ad
aryen	aʀjɛ̃	aryen.ad
aryenne	aʀjɛn	aryen.ad
aryle	aʀil	aryle.ad
arythmie	aʀitmi	arythmie.ad
aryténoïde	aʀitenɔid	aryténoïde.ad
arçon	aʀsɔ̃	arçon.ad
arène	aʀɛ:n	arène.ad
aréflexie	aʀeflɛksi	aréflexie.ad
aréique	aʀeik	aréique.ad
aréna	aʀenɑ	aréna.ad
arénacé	aʀenase	arénacé.ad
arénacée	aʀenase	arénacé.ad
arénicole	aʀenikɔl	arénicole.ad
aréole	aʀeɔl	aréole.ad
aréomètre	aʀeɔmɛ:tʀ	aréomètre.ad
aréométrie	aʀeɔmetʀi	aréométrie.ad
aréopage	aʀeɔpaʒ	aréopage.ad
aréostyle	aʀeɔstil	aréostyle.ad
aréquier	aʀekje	aréquier.ad
arête	aʀɛt	arête.ad
arêtier	aʀɛtje	arêtier.ad
arêtière	aʀɛtjɛʀ	arêtière.ad
arôme	aʀom	arôme_ou_arome.ad
arome	aʀom	arôme_ou_arome.ad
as	ɑs	as_1.ad
asaret	azaʀɛ	asaret.ad
asbeste	azbɛst	asbeste.ad
asbestose	azbɛstoz	asbestose.ad
ascaride	askaʀid	ascaride_ou_ascaris.ad
ascaris	askaʀis	ascaride_ou_ascaris.ad
ascaridiose	askaʀidjoz	ascaridiose_ou_ascaridiase.ad
ascaridiase	askaʀidjɑz	ascaridiose_ou_ascaridiase.ad
ascendance	asɑ̃dɑ̃s	ascendance_1.ad
ascendance	asɑ̃dɑ̃s	ascendance_2.ad
ascendance	asɑ̃dɑ̃s	ascendance_3.ad
ascendant	asɑ̃dɑ̃	ascendant_1.ad
ascendant	asɑ̃dɑ̃	ascendant_2.ad
ascendante	asɑ̃dɑ̃t	ascendant_2.ad
ascendant	asɑ̃dɑ̃	ascendant_3.ad
ascendante	asɑ̃dɑ̃t	ascendant_3.ad
ascenseur	asɑ̃sœʀ	ascenseur.ad
ascension	asɑ̃sjɔ̃	ascension.ad
ascensionnel	asɑ̃sjɔnɛl	ascensionnel.ad
ascensionnelle	asɑ̃sjɔnɛl	ascensionnel.ad
ascensionner	asɑ̃sjɔne	ascensionner.ad
ascensionniste	asɑ̃sjɔnist	ascensionniste.ad
ascidie	asidi	ascidie.ad
ascite	asit	ascite.ad
ascitique	asitik	ascitique.ad
asclépiade	asklepjad	asclépiade.ad
asclépiade	asklepjad	asclépiade_1.ad
ascomycète	askɔmisɛt	ascomycète.ad
ascorbique	askɔʀbik	ascorbique.ad
ascospore	askɔspɔʀ	ascospore.ad
ascèse	asɛz	ascèse.ad
ascète	asɛt	ascète.ad
ascétique	asetik	ascétique.ad
ascétisme	asetism	ascétisme.ad
asdic	azdik	asdic.ad
asepsie	asɛpsi	asepsie.ad
aseptique	asɛptik	aseptique.ad
aseptisation	asɛptizasjɔ̃	aseptisation.ad
aseptiser	asɛptize	aseptiser.ad
aseptisé	asɛptize	aseptisé.ad
aseptisée	asɛptize	aseptisé.ad
asexué	asɛksɥe	asexué.ad
asexuée	asɛksɥe	asexué.ad
ashkénaze	aʃkenɑz	ashkénaze.ad
ashram	aʃʀam	ashram.ad
asialie	azjali	asialie.ad
asiatique	azjatik	asiatique.ad
asilaire	azilɛʀ	asilaire.ad
asile	ɑzil	asile.ad
asinien	azinjɛ̃	asinien.ad
asinienne	azinjɛn	asinien.ad
asociabilité	asɔsjabilite	asociabilité.ad
asocial	asɔsjal	asocial.ad
asociale	asɔsjal	asocial.ad
asparagine	aspaʀaʒin	asparagine.ad
asparagus	aspaʀagys	asparagus.ad
aspartame	aspaʀtam	aspartame.ad
aspartique	aspaʀtik	aspartique.ad
aspe	asp	aspe_ou_asple.ad
asple	aspl	aspe_ou_asple.ad
aspect	aspɛ	aspect.ad
asperge	aspɛʀʒ	asperge.ad
asperger	aspɛʀʒe	asperger.ad
aspergille	aspɛʀʒil	aspergille.ad
aspergillose	aspɛʀʒiloz	aspergillose.ad
aspergès	aspɛʀʒɛ:s	aspergès.ad
aspermatisme	aspɛʀmatism	aspermatisme.ad
asperme	aspɛʀm	asperme.ad
aspermie	aspɛʀmi	aspermie.ad
asperseur	aspɛʀsœʀ	asperseur.ad
aspersion	aspɛʀsjɔ̃	aspersion.ad
aspersoir	aspɛʀswɑʀ	aspersoir.ad
asphaltage	asfaltaʒ	asphaltage.ad
asphalte	asfalt	asphalte.ad
asphalter	asfalte	asphalter.ad
asphaltier	asfaltje	asphaltier.ad
asphodèle	asfɔdɛl	asphodèle.ad
asphyxiant	asfiksjɑ̃	asphyxiant.ad
asphyxiante	asfiksjɑ̃t	asphyxiant.ad
asphyxie	asfiksi	asphyxie.ad
asphyxier	asfiksje	asphyxier.ad
asphyxié	asfiksje	asphyxié.ad
asphyxiée	asfiksje	asphyxié.ad
aspic	aspik	aspic_1.ad
aspic	aspik	aspic_2.ad
aspidistra	aspidistʀɑ	aspidistra.ad
aspirant	aspiʀɑ̃	aspirant.ad
aspirante	aspiʀɑ̃t	aspirant.ad
aspirateur	aspiʀatœʀ	aspirateur.ad
aspiration	aspiʀasjɔ̃	aspiration.ad
aspiratoire	aspiʀatwɑʀ	aspiratoire.ad
aspirer	aspiʀe	aspirer.ad
aspirine	aspiʀin	aspirine.ad
aspiré	aspiʀe	aspiré.ad
aspirée	aspiʀe	aspiré.ad
aspérité	aspeʀite	aspérité.ad
aspérule	aspeʀyl	aspérule.ad
asque	ask	asque.ad
assa-fœtida	asafetidɑ	assa-foetida.ad
assa-foetida	asafetidɑ	assa-foetida.ad
assafétida	asafetidɑ	assa-foetida.ad
assagir	asaʒiʀ	assagir.ad
assagissement	asaʒismɑ̃	assagissement.ad
assaillant	asajɑ̃	assaillant.ad
assaillante	asajɑ̃t	assaillant.ad
assaillir	asajiʀ	assaillir.ad
assainir	asɛniʀ	assainir.ad
assainissement	asɛnismɑ̃	assainissement.ad
assainisseur	asɛnisœʀ	assainisseur.ad
assaisonnement	asɛzɔnmɑ̃	assaisonnement.ad
assaisonner	asɛzɔne	assaisonner.ad
assassin	asasɛ̃	assassin.ad
assassine	asasin	assassin.ad
assassinat	asasinɑ	assassinat.ad
assassiner	asasine	assassiner.ad
assaut	aso	assaut.ad
asseau	aso	asseau_ou_assette.ad
assette	asɛt	asseau_ou_assette.ad
assemblage	asɑ̃blaʒ	assemblage.ad
assemblement	asɑ̃bləmɑ̃	assemblement.ad
assembler	asɑ̃ble	assembler.ad
assembleur	asɑ̃blœʀ	assembleur_1.ad
assembleuse	asɑ̃bløz	assembleur_1.ad
assemblé	asɑ̃ble	assemblé.ad
assemblée	asɑ̃ble	assemblée.ad
assentiment	asɑ̃timɑ̃	assentiment.ad
asseoir	aswɑʀ	asseoir.ad
assoir	aswɑʀ	asseoir.ad
assermentation	asɛʀmɑ̃tasjɔ̃	assermentation.ad
assermenter	asɛʀmɑ̃te	assermenter.ad
assermenté	asɛʀmɑ̃te	assermenté.ad
assermentée	asɛʀmɑ̃te	assermenté.ad
assertif	asɛʀtif	assertif.ad
assertive	asɛʀtiv	assertif.ad
assertion	asɛʀsjɔ̃	assertion.ad
assertorique	asɛʀtɔʀik	assertorique.ad
asservir	asɛʀviʀ	asservir.ad
asservissant	asɛʀvisɑ̃	asservissant.ad
asservissante	asɛʀvisɑ̃t	asservissant.ad
asservissement	asɛʀvismɑ̃	asservissement.ad
assesseur	asɛsœʀ	assesseur.ad
assesseure	asɛsœʀ	assesseur.ad
assez	ase	assez.ad
assibilation	asibilasjɔ̃	assibilation.ad
assibiler	asibile	assibiler.ad
assidu	asidy	assidu.ad
assidue	asidy	assidu.ad
assiduité	asidɥite	assiduité.ad
assidûment	asidymɑ̃	assidûment.ad
assidument	asidymɑ̃	assidûment.ad
assiette	asjɛt	assiette.ad
assiettée	asjɛte	assiettée.ad
assignat	asiɲɑ	assignat.ad
assignation	asiɲasjɔ̃	assignation.ad
assigner	asiɲe	assigner.ad
assimilable	asimilabl	assimilable.ad
assimilateur	asimilatœʀ	assimilateur.ad
assimilatrice	asimilatʀis	assimilateur.ad
assimilation	asimilasjɔ̃	assimilation.ad
assimiler	asimile	assimiler.ad
assimilé	asimile	assimilé.ad
assimilée	asimile	assimilé.ad
assis	asi	assis.ad
assise	asiz	assis.ad
assise	asiz	assise.ad
assises	asiz	assises.ad
assistanat	asistanɑ	assistanat.ad
assistance	asistɑ̃s	assistance.ad
assistant	asistɑ̃	assistant.ad
assistante	asistɑ̃t	assistant.ad
assister	asiste	assister.ad
assisté	asiste	assisté.ad
assistée	asiste	assisté.ad
assiégeant	asjeʒɑ̃	assiégeant.ad
assiégeante	asjeʒɑ̃t	assiégeant.ad
assiéger	asjeʒe	assiéger.ad
assiégé	asjeʒe	assiégé.ad
assiégée	asjeʒe	assiégé.ad
associatif	asɔsjatif	associatif.ad
associative	asɔsjativ	associatif.ad
association	asɔsjasjɔ̃	association.ad
associationnisme	asɔsjasjɔnism	associationnisme.ad
associationniste	asɔsjasjɔnist	associationniste.ad
associativité	asɔsjativite	associativité.ad
associer	asɔsje	associer.ad
associé	asɔsje	associé.ad
associée	asɔsje	associé.ad
assoiffer	aswafe	assoiffer.ad
assoiffé	aswafe	assoiffé.ad
assoiffée	aswafe	assoiffé.ad
assolement	asɔlmɑ̃	assolement.ad
assoler	asɔle	assoler.ad
assombrir	asɔ̃bʀiʀ	assombrir.ad
assombrissement	asɔ̃bʀismɑ̃	assombrissement.ad
assommant	asɔmɑ̃	assommant.ad
assommante	asɔmɑ̃t	assommant.ad
assommer	asɔme	assommer.ad
assommeur	asɔmœʀ	assommeur.ad
assommeuse	asɔmøz	assommeur.ad
assommoir	asɔmwɑʀ	assommoir.ad
assomption	asɔ̃psjɔ̃	assomption.ad
assomptionniste	asɔ̃psjɔnist	assomptionniste.ad
assonance	asɔnɑ̃s	assonance.ad
assonancé	asɔnɑ̃se	assonancé.ad
assonancée	asɔnɑ̃se	assonancé.ad
assonant	asɔnɑ̃	assonant.ad
assonante	asɔnɑ̃t	assonant.ad
assorti	asɔʀti	assorti.ad
assortie	asɔʀti	assorti.ad
assortiment	asɔʀtimɑ̃	assortiment.ad
assortir	asɔʀtiʀ	assortir.ad
assoupir	asupiʀ	assoupir.ad
assoupissement	asupismɑ̃	assoupissement.ad
assouplir	asupliʀ	assouplir.ad
assouplissant	asuplisɑ̃	assouplissant.ad
assouplissement	asuplismɑ̃	assouplissement.ad
assourdir	asuʀdiʀ	assourdir.ad
assourdissant	asuʀdisɑ̃	assourdissant.ad
assourdissante	asuʀdisɑ̃t	assourdissant.ad
assourdissement	asuʀdismɑ̃	assourdissement.ad
assouvir	asuviʀ	assouvir.ad
assouvissement	asuvismɑ̃	assouvissement.ad
assujetti	asyʒɛti	assujetti.ad
assujettie	asyʒɛti	assujetti.ad
assujettir	asyʒɛtiʀ	assujettir.ad
assujettissant	asyʒɛtisɑ̃	assujettissant.ad
assujettissante	asyʒɛtisɑ̃t	assujettissant.ad
assujettissement	asyʒɛtismɑ̃	assujettissement.ad
assumer	asyme	assumer.ad
assurabilité	asyʀabilite	assurabilité.ad
assurable	asyʀabl	assurable.ad
assurage	asyʀaʒ	assurage.ad
assurance-crédit	asyʀɑ̃skʀedi	assurance-crédit.ad
assurance-maladie	asyʀɑ̃smaladi	assurance-maladie.ad
assurance-vie	asyʀɑ̃svi	assurance-vie.ad
assurance	asyʀɑ̃s	assurance.ad
assurer	asyʀe	assurer.ad
assureur	asyʀœʀ	assureur.ad
assureuse	asyʀøz	assureur.ad
assuré	asyʀe	assuré.ad
assurée	asyʀe	assuré.ad
assurément	asyʀemɑ̃	assurément.ad
assuétude	asɥetyd	assuétude.ad
assyrien	asiʀjɛ̃	assyrien.ad
assyrienne	asiʀjɛn	assyrien.ad
assyriologie	asiʀjɔlɔʒi	assyriologie.ad
assyriologue	asiʀjɔlɔg	assyriologue.ad
assèchement	asɛʃmɑ̃	assèchement.ad
assécher	asɛʃe	assécher.ad
asséner	asene	asséner_ou_assener.ad
assener	asene	asséner_ou_assener.ad
asséner	asene	asséner_ou_assener.ad
astasie	astazi	astasie.ad
astate	astat	astate.ad
astatique	astatik	astatique.ad
aster	astɛʀ	aster.ad
astheure	astœʀ	astheure.ad
asthmatique	asmatik	asthmatique.ad
asthme	asm	asthme.ad
asthénie	asteni	asthénie.ad
asthénique	astenik	asthénique.ad
asthénosphère	astenɔsfɛʀ	asthénosphère.ad
asti	asti	asti.ad
asticot	astiko	asticot.ad
asticoter	astikɔte	asticoter.ad
astigmate	astigmat	astigmate.ad
astigmatisme	astigmatism	astigmatisme.ad
astiquage	astikaʒ	astiquage.ad
astiquer	astike	astiquer.ad
astragale	astʀagal	astragale.ad
astrakan	astʀakɑ̃	astrakan.ad
astral	astʀal	astral.ad
astrale	astʀal	astral.ad
astre	astʀ	astre.ad
astreignant	astʀɛɲɑ̃	astreignant.ad
astreignante	astʀɛɲɑ̃t	astreignant.ad
astreindre	astʀɛ̃dʀ	astreindre.ad
astreinte	astʀɛ̃t	astreinte.ad
astringence	astʀɛ̃ʒɑ̃s	astringence.ad
astringent	astʀɛ̃ʒɑ̃	astringent.ad
astringente	astʀɛ̃ʒɑ̃t	astringent.ad
astro-	astʀo-	astro-.ad
astroblème	astʀɔblɛm	astroblème.ad
astrocyte	astʀɔsit	astrocyte.ad
astrolabe	astʀɔlab	astrolabe.ad
astrologie	astʀɔlɔʒi	astrologie.ad
astrologique	astʀɔlɔʒik	astrologique.ad
astrologue	astʀɔlɔg	astrologue.ad
astrométrie	astʀɔmetʀi	astrométrie.ad
astrométrique	astʀɔmetʀik	astrométrique.ad
astronaute	astʀɔnot	astronaute.ad
astronautique	astʀonɔtik	astronautique.ad
astronef	astʀɔnɛf	astronef.ad
astronome	astʀɔnɔm	astronome.ad
astronomie	astʀɔnɔmi	astronomie.ad
astronomique	astʀɔnɔmik	astronomique.ad
astronomiquement	astʀɔnɔmikmɑ̃	astronomiquement.ad
astrophotographie	astʀofɔtɔgʀafi	astrophotographie.ad
astrophysicien	astʀofizisjɛ̃	astrophysicien.ad
astrophysicienne	astʀofizisjɛn	astrophysicien.ad
astrophysique	astʀofizik	astrophysique.ad
astuce	astys	astuce.ad
astucieusement	astysjøzmɑ̃	astucieusement.ad
astucieux	astysjø	astucieux.ad
astucieuse	astysjøz	astucieux.ad
astérie	asteʀi	astérie.ad
astérisque	asteʀisk	astérisque.ad
astéroïde	asteʀɔid	astéroïde.ad
asymptomatique	asɛ̃ptɔmatik	asymptomatique.ad
asymptote	asɛ̃ptɔt	asymptote.ad
asymptotique	asɛ̃ptɔtik	asymptotique.ad
asymétrie	asimetʀi	asymétrie.ad
asymétrique	asimetʀik	asymétrique.ad
asynchrone	asɛ̃kʀɔn	asynchrone.ad
asyndète	asɛ̃dɛt	asyndète.ad
asynergie	asinɛʀʒi	asynergie.ad
asémanticité	asemɑ̃tisite	asémanticité.ad
asémantique	asemɑ̃tik	asémantique.ad
ataraxie	ataʀaksi	ataraxie.ad
atavique	atavik	atavique.ad
atavisme	atavism	atavisme.ad
ataxie	ataksi	ataxie.ad
ataxique	ataksik	ataxique.ad
atchoum	atʃum	atchoum.ad
atelier	atəlje	atelier.ad
atellanes	atɛlan	atellanes.ad
atemporel	atɑ̃pɔʀɛl	atemporel.ad
atemporelle	atɑ̃pɔʀɛl	atemporel.ad
atermoiement	atɛʀmwamɑ̃	atermoiement.ad
atermoyer	atɛʀmwaje	atermoyer.ad
athermane	atɛʀman	athermane.ad
athermique	atɛʀmik	athermique.ad
athlète	atlɛt	athlète.ad
athlétique	atletik	athlétique.ad
athlétisme	atletism	athlétisme.ad
athrepsie	atʀɛpsi	athrepsie.ad
athymie	atimi	athymie.ad
athyrie	atiʀi	athyrie_ou_athyrium.ad
athyrium	atiʀjɔm	athyrie_ou_athyrium.ad
athée	ate	athée.ad
athéisme	ateism	athéisme.ad
athématique	atematik	athématique.ad
athénien	atenjɛ̃	athénien.ad
athénienne	atenjɛn	athénien.ad
athénée	atene	athénée.ad
athéromateux	ateʀomatø	athéromateux.ad
athéromateuse	ateʀomatøz	athéromateux.ad
athérome	ateʀom	athérome.ad
athérosclérose	ateʀoskleʀoz	athérosclérose.ad
athétose	atetoz	athétose.ad
atlante	atlɑ̃t	atlante.ad
atlantique	atlɑ̃tik	atlantique.ad
atlantisme	atlɑ̃tism	atlantisme.ad
atlas	atlɑs	atlas.ad
atmosphère	atmɔsfɛʀ	atmosphère.ad
atmosphérique	atmɔsfeʀik	atmosphérique.ad
atoca	atɔkɑ	atoca.ad
atocatière	atɔkatjɛʀ	atocatière.ad
atoll	atɔl	atoll.ad
atome-gramme	atomgʀam	atome-gramme.ad
atome	atom	atome.ad
atomicité	atɔmisite	atomicité.ad
atomique	atɔmik	atomique.ad
atomisation	atɔmizasjɔ̃	atomisation.ad
atomiser	atɔmize	atomiser.ad
atomiseur	atɔmizœʀ	atomiseur.ad
atomisme	atɔmism	atomisme.ad
atomiste	atɔmist	atomiste.ad
atomistique	atɔmistik	atomistique.ad
atonal	atɔnal	atonal.ad
atonale	atɔnal	atonal.ad
atonalité	atɔnalite	atonalité.ad
atone	atɔn	atone.ad
atonie	atɔni	atonie.ad
atonique	atɔnik	atonique.ad
atour	atuʀ	atour.ad
atout	atu	atout.ad
atrabilaire	atʀabilɛʀ	atrabilaire.ad
atrabile	atʀabil	atrabile.ad
atrium	atʀiɔm	atrium.ad
atroce	atʀɔs	atroce.ad
atrocement	atʀɔsmɑ̃	atrocement.ad
atrocité	atʀɔsite	atrocité.ad
atrophie	atʀɔfi	atrophie.ad
atrophier	atʀɔfje	atrophier.ad
atrophié	atʀɔfje	atrophié.ad
atrophiée	atʀɔfje	atrophié.ad
atropine	atʀɔpin	atropine.ad
atrésie	atʀezi	atrésie.ad
attabler	atable	attabler.ad
attachant	ataʃɑ̃	attachant.ad
attachante	ataʃɑ̃t	attachant.ad
attache	ataʃ	attache.ad
attachement	ataʃmɑ̃	attachement.ad
attacher	ataʃɛ	attacher.ad
attaché	ataʃe	attaché.ad
attachée	ataʃe	attaché.ad
attaquable	atakabl	attaquable.ad
attaquant	atakɑ̃	attaquant.ad
attaquante	atakɑ̃t	attaquant.ad
attaque	atak	attaque.ad
attaquer	atake	attaquer.ad
attardé	ataʀde	attardé.ad
attardée	ataʀde	attardé.ad
atteignable	atɛɲabl	atteignable.ad
atteindre	atɛ̃dʀ	atteindre.ad
atteint	atɛ̃	atteint.ad
atteinte	atɛ̃t	atteint.ad
atteinte	atɛ̃t	atteinte.ad
attelage	atlaʒ	attelage.ad
atteler	atle	atteler.ad
attelle	atɛl	attelle.ad
attenant	atənɑ̃	attenant.ad
attenante	atənɑ̃t	attenant.ad
attendre	atɑ̃dʀ	attendre.ad
attendri	atɑ̃dʀi	attendri.ad
attendrie	atɑ̃dʀi	attendri.ad
attendrir	atɑ̃dʀiʀ	attendrir.ad
attendrissant	atɑ̃dʀisɑ̃	attendrissant.ad
attendrissante	atɑ̃dʀisɑ̃t	attendrissant.ad
attendrissement	atɑ̃dʀismɑ̃	attendrissement.ad
attendrisseur	atɑ̃dʀisœʀ	attendrisseur.ad
attendu	atɑ̃dy	attendu.ad
attendue	atɑ̃dy	attendu.ad
attentat	atɑ̃tɑ	attentat.ad
attentatoire	atɑ̃tatwɑʀ	attentatoire.ad
attente	atɑ̃t	attente.ad
attenter	atɑ̃te	attenter.ad
attentif	atɑ̃tif	attentif.ad
attentive	atɑ̃tiv	attentif.ad
attention	atɑ̃sjɔ̃	attention.ad
attentionné	atɑ̃sjɔne	attentionné.ad
attentionnée	atɑ̃sjɔne	attentionné.ad
attentisme	atɑ̃tism	attentisme.ad
attentiste	atɑ̃tist	attentiste.ad
attentivement	atɑ̃tivmɑ̃	attentivement.ad
atterrage	atɛʀaʒ	atterrage.ad
atterrant	atɛʀɑ̃	atterrant.ad
atterrante	atɛʀɑ̃t	atterrant.ad
atterrer	atɛʀe	atterrer.ad
atterrir	atɛʀiʀ	atterrir.ad
atterrissage	atɛʀisaʒ	atterrissage.ad
atterrisseur	atɛʀisœʀ	atterrisseur.ad
attestation	atɛstasjɔ̃	attestation.ad
attester	atɛste	attester.ad
attesté	atɛste	attesté.ad
attestée	atɛste	attesté.ad
atticisme	atisism	atticisme.ad
attifement	atifmɑ̃	attifement.ad
attifer	atife	attifer.ad
attikamek	atikamɛk	attikamek.ad
attique	atik	attique.ad
attirail	atiʀaj	attirail.ad
attirance	atiʀɑ̃s	attirance.ad
attirant	atiʀɑ̃	attirant.ad
attirante	atiʀɑ̃t	attirant.ad
attirer	atiʀe	attirer.ad
attisement	atizmɑ̃	attisement.ad
attiser	atize	attiser.ad
attisée	atize	attisée.ad
attitré	atitʀe	attitré.ad
attitrée	atitʀe	attitré.ad
attitude	atityd	attitude.ad
attitudinal	atitydinal	attitudinal.ad
attitudinale	atitydinal	attitudinal.ad
attiédir	atjediʀ	attiédir.ad
attiédissement	atjɛdismɑ̃	attiédissement.ad
attorney	atɔʀne	attorney.ad
attouchement	atuʃmɑ̃	attouchement.ad
attracteur	atʀaktœʀ	attracteur.ad
attractrice	atʀaktʀis	attracteur.ad
attractif	atʀaktif	attractif.ad
attractive	atʀaktiv	attractif.ad
attraction	atʀaksjɔ̃	attraction.ad
attractivité	atʀaktivite	attractivité.ad
attrait	atʀɛ	attrait.ad
attrapade	atʀapad	attrapade.ad
attrape-mouche(s)	atʀapmuʃ	attrape-mouche(s).ad
attrape-nigaud	atʀapnigo	attrape-nigaud.ad
attrape	atʀap	attrape.ad
attraper	atʀape	attraper.ad
attrayant	atʀɛjɑ̃	attrayant.ad
attrayante	atʀɛjɑ̃t	attrayant.ad
attribuable	atʀibɥabl	attribuable.ad
attribuer	atʀibɥe	attribuer.ad
attribut	atʀiby	attribut.ad
attributaire	atʀibytɛʀ	attributaire.ad
attributif	atʀibytif	attributif.ad
attributive	atʀibytiv	attributif.ad
attribution	atʀibysjɔ̃	attribution.ad
attristant	atʀistɑ̃	attristant.ad
attristante	atʀistɑ̃t	attristant.ad
attrister	atʀiste	attrister.ad
attrition	atʀisjɔ̃	attrition.ad
attroupement	atʀupmɑ̃	attroupement.ad
attrouper	atʀupe	attrouper.ad
atténuant	atenɥɑ̃	atténuant.ad
atténuante	atenɥɑ̃t	atténuant.ad
atténuateur	atenɥatœʀ	atténuateur.ad
